Problem                  N    Best metric      Known       Diff Status
7_6_in_5                 7      3.802402   3.797500  +0.004902 worse_than_best_known
7_8_in_5                 7      5.256554   5.255440  +0.001114 worse_than_best_known
8_3_in_4                 8      2.239448   2.098000  +0.141448 worse_than_best_known
8_3_in_5                 8      1.861668   1.659000  +0.202668 worse_than_best_known
8_3_in_circle            8      1.583884   1.263000  +0.320884 worse_than_best_known
8_4_in_3                 8      5.308092   5.301000  +0.007092 worse_than_best_known
8_4_in_6                 8      2.153917   2.153800  +0.000117 worse_than_best_known
8_4_in_8                 8      1.571878   1.569620  +0.002258 worse_than_best_known
8_5_in_4                 8      4.385118   4.381900  +0.003218 worse_than_best_known
8_6_in_5                 8      4.149212   4.149200  +0.000012 matches_best_known
8_6_in_6                 8      3.314477   3.314000  +0.000477 worse_than_best_known
8_6_in_8                 8      2.409205   2.407900  +0.001305 worse_than_best_known
8_8_in_5                 8      5.620301   5.616620  +0.003681 worse_than_best_known
9_3_in_4                 9      2.376212   2.287000  +0.089212 worse_than_best_known
9_3_in_5                 9      1.974600   1.767000  +0.207600 worse_than_best_known
9_3_in_8                 9      1.285689   1.008710  +0.276979 worse_than_best_known
9_3_in_circle            9      1.679957   1.314000  +0.365957 worse_than_best_known
9_4_in_3                 9      5.309911   5.309000  +0.000911 worse_than_best_known
9_6_in_4                 9      5.518155   5.518000  +0.000155 worse_than_best_known
9_6_in_5                 9      4.344405   4.343100  +0.001305 worse_than_best_known
9_6_in_6                 9      3.628936   3.628000  +0.000936 worse_than_best_known
9_6_in_8                 9      2.643517   2.626700  +0.016817 worse_than_best_known
9_8_in_5                 9      5.981471   5.965800  +0.015671 worse_than_best_known
